orig_root,orig_folder,orig_file,processed_root,processed_file,notes
02_processed,dst_processed.gdb,mpatt_eco_fish_deepseasole,03_working\dst_eco.gdb,mpatt_eco_fish_deepseasole,
02_processed,dst_processed.gdb,mpatt_eco_fish_doversole,03_working\dst_eco.gdb,mpatt_eco_fish_doversole,
02_processed,dst_processed.gdb,mpatt_eco_fish_englishsole,03_working\dst_eco.gdb,mpatt_eco_fish_englishsole,
02_processed,dst_processed.gdb,mpatt_eco_fish_eulachon,03_working\dst_eco.gdb,mpatt_eco_fish_eulachon,
02_processed,dst_processed.gdb,mpatt_eco_fish_flatheadsole,03_working\dst_eco.gdb,mpatt_eco_fish_flatheadsole,
02_processed,dst_processed.gdb,mpatt_eco_fish_greensturgeon,03_working\dst_eco.gdb,mpatt_eco_fish_greensturgeon,
02_processed,dst_processed.gdb,mpatt_eco_fish_hake,03_working\dst_eco.gdb,mpatt_eco_fish_hake,
02_processed,dst_processed.gdb,mpatt_eco_fish_halibut,03_working\dst_eco.gdb,mpatt_eco_fish_halibut,
02_processed,dst_processed.gdb,mpatt_eco_fish_herring,03_working\dst_eco.gdb,mpatt_eco_fish_herring,
02_processed,dst_processed.gdb,mpatt_eco_fish_juvenileflatfish,03_working\dst_eco.gdb,mpatt_eco_fish_juvenileflatfish,
02_processed,dst_processed.gdb,mpatt_eco_fish_longnoseskate,03_working\dst_eco.gdb,mpatt_eco_fish_longnoseskate,
02_processed,dst_processed.gdb,mpatt_eco_fish_pacificcod,03_working\dst_eco.gdb,mpatt_eco_fish_pacificcod,
02_processed,dst_processed.gdb,mpatt_eco_fish_pacificsanddab,03_working\dst_eco.gdb,mpatt_eco_fish_pacificsanddab,
02_processed,dst_processed.gdb,mpatt_eco_fish_pacificsleeper,03_working\dst_eco.gdb,mpatt_eco_fish_pacificsleeper,
02_processed,dst_processed.gdb,mpatt_eco_fish_petralesole,03_working\dst_eco.gdb,mpatt_eco_fish_petralesole,
02_processed,dst_processed.gdb,mpatt_eco_fish_rexsole,03_working\dst_eco.gdb,mpatt_eco_fish_rexsole,
02_processed,dst_processed.gdb,mpatt_eco_fish_rocksole,03_working\dst_eco.gdb,mpatt_eco_fish_rocksole,
02_processed,dst_processed.gdb,mpatt_eco_fish_roughtailskate,03_working\dst_eco.gdb,mpatt_eco_fish_roughtailskate,
02_processed,dst_processed.gdb,mpatt_eco_fish_salmon,03_working\dst_eco.gdb,mpatt_eco_fish_salmon,
02_processed,dst_processed.gdb,mpatt_eco_fish_sandlance,03_working\dst_eco.gdb,mpatt_eco_fish_sandlance,
02_processed,dst_processed.gdb,mpatt_eco_fish_sandpaperskate,03_working\dst_eco.gdb,mpatt_eco_fish_sandpaperskate,
02_processed,dst_processed.gdb,mpatt_eco_fish_sandsole,03_working\dst_eco.gdb,mpatt_eco_fish_sandsole,
02_processed,dst_processed.gdb,mpatt_eco_fish_sardine,03_working\dst_eco.gdb,mpatt_eco_fish_sardine,
02_processed,dst_processed.gdb,mpatt_eco_fish_sixgillshark,03_working\dst_eco.gdb,mpatt_eco_fish_sixgillshark,
02_processed,dst_processed.gdb,mpatt_eco_inverts_dungenesscrab,03_working\dst_eco.gdb,mpatt_eco_inverts_dungenesscrab,
02_processed,dst_processed.gdb,mpatt_eco_inverts_geoduck,03_working\dst_eco.gdb,mpatt_eco_inverts_geoduck,
02_processed,dst_processed.gdb,mpatt_eco_inverts_greenurchin,03_working\dst_eco.gdb,mpatt_eco_inverts_greenurchin,
02_processed,dst_processed.gdb,mpatt_eco_inverts_oyster,03_working\dst_eco.gdb,mpatt_eco_inverts_oyster,
02_processed,dst_processed.gdb,mpatt_eco_inverts_razorclam,03_working\dst_eco.gdb,mpatt_eco_inverts_razorclam,
02_processed,dst_processed.gdb,mpatt_eco_inverts_shrimp,03_working\dst_eco.gdb,mpatt_eco_inverts_shrimp,
02_processed,dst_processed.gdb,mpatt_eco_inverts_tannercrab,03_working\dst_eco.gdb,mpatt_eco_inverts_tannercrab,
02_processed,dst_processed.gdb,mpatt_eco_reptiles_leatherbackseaturtle,03_working\dst_eco.gdb,mpatt_eco_reptiles_leatherbackseaturtle,
02_processed,dst_processed.gdb,mpatt_eco_mammals_northernfurseal,03_working\dst_eco.gdb,mpatt_eco_mammals_northernfurseal,
